recall_id,organization,product_name,issue,category,updated_at,data_received_at,issue_category
73357,Health Canada,Various unauthorized health products promoted for sexual enhancement,Unauthorized product,Drugs,2024-01-29,2024-05-30 18:48:21.101899,Health products
74962,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Suspension,Truck - Med. & H.D.,2024-01-26,2024-05-30 18:48:21.101899,Vehicles
74948,Health Canada,"Syringe, Sterile, Field Flush 10 Ml",Sterility Issue,Medical devices - General hospital and personal use,2024-01-26,2024-05-30 18:48:21.101899,Health products
74958,Health Canada,Roller shade window coverings by La Belle Vénitienne,"Choking hazard, Strangulation hazard",Household items,2024-01-26,2024-05-30 18:48:21.101899,Consumer products
74947,Health Canada,Med-Rx P-Eggy Chest Drain Valve,Labelling and packaging,Medical devices - General hospital and personal use,2024-01-25,2024-05-30 18:48:21.101899,Health products
74949,Health Canada,Various custom-made corded window coverings by Vénitiennes 83 Inc.,"Choking hazard, Strangulation hazard",Household items,2024-01-25,2024-05-30 18:48:21.101899,Consumer products
74781,Health Canada,Maverick Coastal 60-Inch Outdoor Ceiling Fan,Impact hazard,Household items,2024-01-25,2024-05-30 18:48:21.101899,Consumer products
74961,Transport Canada,Motorhome recalled by TIFFIN,Seats And Restraints,Motorhome,2024-01-25,2024-05-30 18:48:21.101899,Vehicles
74960,Transport Canada,Snowmobile recalled by POLARIS,Powertrain,Snowmobile,2024-01-25,2024-05-30 18:48:21.101899,Vehicles
74941,Transport Canada,RV Trailer recalled by HEARTLAND,Label,RV Trailer,2024-01-25,2024-05-30 18:48:21.101899,Vehicles
74916,Transport Canada,Bus recalled by VICINITY MOTOR CORP.,Fuel Supply,Bus,2024-01-25,2024-05-30 18:48:21.101899,Vehicles
74038,Transport Canada,Snowmobile recalled by POLARIS,Powertrain,Snowmobile,2024-01-25,2024-05-30 18:48:21.101899,Vehicles
74937,Health Canada,FirstPower 4000mAh V6 Battery Replacement for Dyson V6 Series Vacuums,"Burn hazard, Fire hazard",Electronics,2024-01-25,2024-05-30 18:48:21.101899,Consumer products
74957,Transport Canada,RV Trailer recalled by FOREST RIVER,Suspension,RV Trailer,2024-01-24,2024-05-30 18:48:21.101899,Vehicles
74952,Transport Canada,Snowmobile recalled by TEXTRON,Brakes,Snowmobile,2024-01-24,2024-05-30 18:48:21.101899,Vehicles
25476,Health Canada,"Natural gas and propane-fired direct vent free-standing fireplaces manufactured by CFM Inc. (Majestic Fireplace) that bear the trade names Insta-flame or Northern Flame (Models FSDV22, FSDV30, FSDV32, D222 and D232 Series).","Fire hazard, Flammability hazard, Injury hazard",Specialized products,2024-01-24,2024-05-30 18:48:21.101899,Consumer products
74956,Transport Canada,SUV recalled by MAZDA,Steering,SUV,2024-01-24,2024-05-30 18:48:21.101899,Vehicles
74955,Transport Canada,Motorhome recalled by NEWMAR,Seats And Restraints,Motorhome,2024-01-24,2024-05-30 18:48:21.101899,Vehicles
74954,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Structure,Truck - Med. & H.D.,2024-01-24,2024-05-30 18:48:21.101899,Vehicles
74945,Health Canada,JAMP TELMISARTAN-HCT,Product quality,Drugs,2024-01-24,2024-05-30 18:48:21.101899,Health products
74953,Transport Canada,Heavy Trailer recalled by LODE KING,Brakes,Heavy Trailer,2024-01-24,2024-05-30 18:48:21.101899,Vehicles
