recall_id,organization,product_name,issue,category,updated_at,data_received_at
73357,Health Canada,Various unauthorized health products promoted for sexual enhancement,Unauthorized product,Health products - Drugs,2024-01-29,2024-05-30 18:48:21.101899
74816,Health Canada,Global Medium,Performance issue,Health products - Medical devices - Chemistry,2023-12-27,2024-05-30 18:48:21.101899
74484,Transport Canada,Car recalled by BMW,Engine,"Vehicles - Car, Vehicles - SUV",2023-11-29,2024-05-30 18:48:21.101899
74227,Health Canada,Prime-Line Defender Security Glass Knobs,Laceration hazard,Consumer products - Household items,2023-08-31,2024-05-30 18:48:21.101899
74171,Health Canada,Soja & Co. Ambiance Spray,Labelling and packaging,Consumer products - Chemicals,2023-08-29,2024-05-30 18:48:21.101899
74208,Health Canada,Daylogic Dry Shampoo Original,Labelling and packaging,Consumer products - Beauty and personal care,2023-08-28,2024-05-30 18:48:21.101899
73992,Health Canada,Aiper Elite Pro GS100 robotic swimming pool vacuum cleaner,Fire hazard,Consumer products - Electronics,2023-08-24,2024-05-30 18:48:21.101899
74165,Health Canada,"Mastercraft, Profusion Heat, Prestige and Matrix Portable Garage Heaters","Burn hazard, Fire hazard",Consumer products - Household items,2023-08-24,2024-05-30 18:48:21.101899
74169,Health Canada,Rathburn Venetian Accent Mirror,Laceration hazard,Consumer products - Household items,2023-08-24,2024-05-30 18:48:21.101899
74144,Health Canada,Simplay3 Toddler Towers,"Fall hazard, Injury hazard",Consumer products - Household items,2023-08-17,2024-05-30 18:48:21.101899
74106,Health Canada,Philips Avent Digital Video Baby Monitor,Fire hazard,Consumer products - Electronics,2023-08-14,2024-05-30 18:48:21.101899
74086,Health Canada,All HOME FRAGRANCE reed diffusers,Labelling and packaging,Consumer products - Chemicals,2023-08-14,2024-05-30 18:48:21.101899
74067,Health Canada,Big Game Hunters and Garden Games Junior Cricket sets,Chemical hazard,Consumer products - Toys and games,2023-08-14,2024-05-30 18:48:21.101899
74084,Health Canada,Cantu Shea Butter Oil Sheen Deep Conditioning Spray,Labelling and packaging,Consumer products - Beauty and personal care,2023-08-10,2024-05-30 18:48:21.101899
73935,Health Canada,"The Children's Place Baby and Toddler Boy Basic Stretch Straight Jeans, in Dustbowl Wash, Style #3022341, Vendor #7000541. Sizes 6-9M up to 5T",Choking hazard,Consumer products - Clothing and accessories - Clothing,2023-08-10,2024-05-30 18:48:21.101899
74061,Health Canada,Walker Edison Twin Over Twin Bunk Beds,Fall hazard,Consumer products - Household items,2023-08-08,2024-05-30 18:48:21.101899
